Block,Treatment,Warmed,Fertilized,Plate,Column,Row,Core,LAP.mm2.min,NAG.mm2.min,PHOS.mm2.min,ABTS.mm2.min,TMB.mm2.min,Area
B1,Control,N,N,MAT.C.B1,9,G,10,2.782676857,53.80335661,71.02756278,1042.214744,1840.724365,0.972
B1,Control,N,N,MAT.C.B1,9,H,10,1.660737502,29.94727779,49.96423774,522.8821436,1788.792503,1.515
B2,Control,N,N,MAT.C.B2,3,A,9,2.142487527,9.784794812,22.32440429,313.4789953,327.3725149,0.499
B2,Control,N,N,MAT.C.B2,3,B,9,0.673936014,28.3562237,24.26833507,0,15.48437941,0.978
B2,Control,N,N,MAT.C.B2,3,C,9,2.787541818,10.5070581,21.88615997,314.8309749,313.0147857,0.666
B2,Control,N,N,MAT.C.B2,3,D,9,29.89597036,17.42085592,61.36434962,150.4993049,336.619706,1.006
B2,Control,N,N,MAT.C.B2,3,E,9,4.362951398,24.02714477,21.44258115,54.47594187,134.5213698,0.4
B2,Control,N,N,MAT.C.B2,3,F,1,6.498757318,15.58517163,40.81861645,159.3517658,218.5380493,1.237
B2,Control,N,N,MAT.C.B2,3,G,1,9.517132194,22.4110894,50.95142776,173.7146157,295.8210911,1.502
B2,Control,N,N,MAT.C.B2,3,H,1,10.15963588,24.95619044,51.1725621,18.93481491,366.7255333,1.31
B2,Control,N,N,MAT.C.B2,4,A,1,1.76229603,19.55654737,24.91196819,10.10290288,64.03480454,0.317
B2,Control,N,N,MAT.C.B2,4,B,1,5.637704479,16.29205775,23.57627619,0,251.7564961,0.311
B2,Control,N,N,MAT.C.B2,4,C,1,8.432735015,22.40462617,40.28704187,219.3486871,218.835132,1.359
B2,Control,N,N,MAT.C.B2,4,D,1,10.58605725,23.88058969,45.20452045,210.3578281,287.3277137,1.515
B2,Control,N,N,MAT.C.B2,4,E,12,1.234510806,13.18181225,20.34283588,17.59681436,125.6960881,0.182
B2,Control,N,N,MAT.C.B2,4,F,12,1.255069308,39.35388085,52.65071095,1137.817927,1306.660708,1.066
B2,Control,N,N,MAT.C.B2,4,G,12,1.110270312,35.33528781,52.08528022,1171.097935,1427.174168,0.892
B2,Control,N,N,MAT.C.B2,4,H,12,1.538010252,41.25408172,51.47630148,647.761164,1061.113983,1.456
B2,Control,N,N,MAT.C.B2,5,A,12,NA,NA,NA,NA,NA,NA
B2,Control,N,N,MAT.C.B2,5,B,12,0.983909143,40.8898077,107.5083482,386.61062,545.1479933,0.198
B2,Control,N,N,MAT.C.B2,5,C,12,0.780296437,33.62198384,48.37695247,752.0679176,1471.125704,1.391
B2,Control,N,N,MAT.C.B2,5,D,12,1.836820622,53.50404395,74.6521951,2285.505652,2961.234601,0.483
B2,Control,N,N,MAT.C.B2,5,E,12,53.24651852,37.00427983,83.21015749,412.1491522,441.5786973,0.332
B2,Control,N,N,MAT.C.B2,5,F,12,0.941436747,35.97422594,43.13991464,872.48978,1688.415605,1.499
