Species	Treatment	OTU 	LAP	NAG	PHOS	ABTS	TMB
Russula vinosa_1	Control	38	24.57758151	60.21776913	72.41702245	782.4585207	2001.325945
Russula vinosa_1	Control	38	19.14351519	50.88278211	75.55717469	792.1214186	1893.024925
Russula vinosa_1	Control	38	71.93879473	36.48359705	132.9870437	480.1597325	418.8689358
Russula vinosa_1	Control	38	1.110270312	35.33528781	52.08528022	1171.097935	1427.174168
Russula vinosa_1	Control	38	0.780296437	33.62198384	48.37695247	752.0679176	1471.125704
Russula vinosa_1	Control	38	1.836820622	53.50404395	74.6521951	2285.505652	2961.234601
Russula vinosa_1	Control	38	1.76780186	34.23259559	51.72320719	1478.593332	1193.313243
Russula vinosa_1	Control	38	1.743504642	31.25696099	42.62635384	846.1506556	865.6215395
Russula vinosa_1	Control	38	1.48421242	21.91351323	38.61631704	882.0925601	1050.32854
Russula vinosa_1	Control	38	1.464387664	41.04009147	55.08408421	1500.993345	1506.223831
Russula vinosa_1	Control	38	58.66994691	36.27592644	123.1775686	574.5670875	601.4881605
Russula vinosa_1	Control	38	1.252585122	51.57642861	118.1065785	2377.17416	2211.060066
Russula vinosa_1	Control	38	1.269213615	31.48258853	77.68252511	114.6187135	899.5819359
Russula vinosa_1	Control	38	0.730434791	54.34455259	108.8003696	2021.720272	2640.515862
Russula vinosa_1	Control	38	0.89969559	26.20386523	57.52150424	284.8940265	530.4030465
Russula vinosa_1	Control	38	2.680311891	38.6787618	127.2146972	1129.357614	2210.103212
Russula nitida_1 	Control	39	2.708475874	4.697907812	63.51546634	24.93960663	252.8493528
Russula nitida_2	Control	39	2.463195132	8.068477396	82.31886828	18.14296135	262.2010924
Russula decolorans	Control	40	1.61919854	37.96124179	60.23803577	786.494823	1460.452487
Russula decolorans	Control	40	1.141675887	34.80424066	62.61026085	1093.958096	717.9015867
Russula decolorans	Control	40	0.753121471	31.89797855	67.46677261	62.59142507	276.7601506
Russula decolorans	Control	40	1.834335885	32.87622755	82.23541481	96.52898346	1264.083036
Russula decolorans	Control	40	2.010024835	32.93752731	131.7283694	835.7900769	1363.945577
Russula suecica	Control	42	1.663778898	18.89591748	46.42718654	636.3653418	1537.154212
Russula suecica	Control	42	1.24775431	13.02040592	34.49462637	406.7318087	803.9173958
Russula suecica	Control	42	1.858396612	31.06622516	59.16538396	858.5858612	1825.537118
Russula suecica	Control	42	2.229332664	38.81649591	60.40066358	807.2829754	1234.014524
Russula suecica	Control	42	2.295511506	28.08290484	55.45897583	684.2725775	1719.118018
Russula suecica	Control	42	1.78878805	42.69733878	57.73026736	372.6506478	1128.251036
Russula suecica	Control	42	1.677404494	32.64861551	52.81299121	529.5876505	1178.123657
Russula suecica	Control	42	1.055656082	20.54402528	36.39029146	380.5357357	1050.254957
Russula suecica	Control	42	1.879851851	30.8465702	53.15524592	552.4299837	1417.140125
Russula suecica	Control	42	2.782676857	53.80335661	71.02756278	1042.214744	1840.724365
Russula suecica	Control	42	1.660737502	29.94727779	49.96423774	522.8821436	1788.792503
Russula suecica	Control	42	3.285982277	29.87784402	44.72562456	873.8762394	2573.515968
Russula suecica	Control	42	1.458167475	27.97118482	41.49712799	797.9497223	1047.172339
Articulospora tetracladia	Fertilized	2	2.605521434	5.087341335	15.34793403	2.772967618	734.9803545
Cortinarius delibutus	Fertilized	13	0.021835771	2.187382826	69.9502387	3.307215998	174.2785626
Cortinarius delibutus	Fertilized	13	13.32158464	9.444734135	100.3135094	0	639.5318251
Cortinarius delibutus	Fertilized	13	22.5958004	9.272982218	132.0718452	0	442.4735936
Laccaria laccata	Fertilized	18	4.135775028	24.48353455	36.6940985	117.8126103	366.5316288
Laccaria laccata	Fertilized	18	4.144117134	29.3467554	44.06148754	29.53507263	305.440659
Laccaria laccata	Fertilized	18	5.297169586	14.21593406	19.14995468	2.212828159	944.3459274
Laccaria laccata	Fertilized	18	2.88381763	16.27846463	30.34743278	67.16003934	363.3500626
Laccaria laccata	Fertilized	18	3.504036056	23.59262313	48.1086446	103.83863	304.656549
Laccaria laccata	Fertilized	18	4.190211048	19.28641182	27.12539208	0.503424	415.3674629
Laccaria laccata	Fertilized	18	4.465503527	13.88996256	25.24727513	0.161284851	831.5737584
Laccaria laccata	Fertilized	18	2.967178713	24.01758214	40.77426655	0	688.1228809
Laccaria laccata	Fertilized	18	2.223021752	25.64305406	31.4701412	131.1022144	993.5858
Lactarius vietus_1	Fertilized	19	4.616050231	19.52190621	45.40945371	93.4008994	405.9369882
Lactarius vietus_1	Fertilized	19	4.194629252	51.9898903	93.44192	468.8462254	1299.227676
Lactarius glyciosmus	Fertilized	20	5.172623811	15.61577201	34.12910953	234.6795676	520.2694629
Lactarius glyciosmus	Fertilized	20	2.204136186	8.116493122	17.34402613	60.04627664	698.5517718
Lactarius glyciosmus	Fertilized	20	2.18083172	20.78279433	26.02382215	246.352192	1440.628841
Lactarius glyciosmus	Fertilized	20	1.229311173	17.04238831	22.69748961	159.507836	773.3046007
Lactarius vietus_2	Fertilized	21	10.27763254	20.60040837	69.55515838	433.4778606	364.4679256
Meliniomyces variabilis	Fertilized	28	0.568931937	2.112749457	6.498272249	2.566424411	164.7106175
Pseudotomentella tristis	Fertilized	31	1.021961935	38.35072699	41.40320411	0.93763905	879.4984765
Rhizoscyphus ericae	Fertilized	32	2.655095858	6.426293769	15.3365853	0	1010.625886
Rhizoscyphus ericae	Fertilized	32	1.571677753	17.68098717	16.8873473	223.4455595	703.1804525
Thelephora terrestris	Fertilized	33	11.90722797	35.93944733	62.71830543	0	301.626056
Thelephora terrestris	Fertilized	33	6.631886678	20.30524407	41.55907882	0	526.7140169
Thelephora terrestris	Fertilized	33	10.44499936	43.62954787	58.07752723	3.874601835	176.2656523
Thelephora terrestris	Fertilized	33	4.197197523	17.54895967	71.39822339	0	804.3518791
Thelephora terrestris	Fertilized	33	7.087716256	17.23292407	32.82881126	0	184.693583
Thelephora terrestris	Fertilized	33	12.28540486	25.55269027	42.23657997	0	939.1929432
Thelephora terrestris	Fertilized	33	3.287705594	19.21995736	19.91622337	0	297.7603638
Thelephora terrestris	Fertilized	33	1.860036316	14.3530894	25.78447118	0.262494444	326.1006845
Thelephora terrestris	Fertilized	33	7.805422889	18.66108171	39.04106548	0	594.5318643
Thelephora terrestris	Fertilized	33	3.116789295	10.84022924	25.3206602	0	471.7106718
Thelephora terrestris	Fertilized	33	8.636579641	11.91739881	29.55190479	0	235.5949559
Thelephora terrestris	Fertilized	33	6.375893963	15.06635703	34.15613412	0.371903892	244.5996929
Thelephora terrestris	Fertilized	33	8.292672488	35.52882066	43.81591924	1.438599867	94.65541026
Thelephora terrestris	Fertilized	33	7.941666019	27.45490896	39.69027199	0	50.49560718
Thelephora terrestris	Fertilized	33	3.561682885	3.281847053	25.73762283	0	199.8529493
Thelephora terrestris	Fertilized	33	5.274492391	12.76125797	35.23204679	1.133198778	176.0381305
Thelephora terrestris	Fertilized	33	4.602923065	12.04372925	49.81798788	0	403.9431762
Thelephora terrestris	Fertilized	33	10.99758921	22.79861532	88.93198841	0	372.2004548
Thelephora terrestris	Fertilized	33	3.764711334	8.620117534	24.21362451	0	377.3921909
Thelephora terrestris	Fertilized	33	5.226970571	17.57134069	38.07606693	2.524138584	256.3310862
Thelephora terrestris	Fertilized	33	5.764804352	19.57307474	35.16391266	2.076233828	105.3437473
Thelephora terrestris	Fertilized	33	5.124147759	19.76754384	35.56513449	1.373978269	330.3212747
Tomentellopsis submollis	Fertilized	36	1.824939702	70.63594148	95.52148246	0.712065451	167.0940029
Tomentellopsis submollis	Fertilized	36	2.149216132	27.37815788	47.57152606	0	242.2624897
Tomentellopsis submollis	Fertilized	36	3.110940342	47.64639812	59.27660963	0.280815756	290.3899671
Tomentellopsis submollis	Fertilized	36	7.386975078	26.70854201	64.37207911	0	497.0952028
Tomentellopsis submollis	Fertilized	36	3.768235096	12.62855096	23.9747412	0	331.4492817
Tomentellopsis submollis	Fertilized	36	1.164696639	13.3641322	64.17519496	1.972547079	776.9361043
Russula chamiteae	Fertilized	37	1.465873443	7.71018912	90.60665137	127.1817131	232.8156313
Russula chamiteae	Fertilized	37	1.566568776	8.332640102	80.28342453	4.646939134	191.9815956
Russula chamiteae	Fertilized	37	3.437555168	12.50914562	98.6569445	10.98331123	292.0562305
Russula vinosa_1	Fertilized	38	1.100399021	6.110155437	73.51248239	14.96654803	260.5577494
Russula vinosa_1	Fertilized	38	4.708827832	12.68494614	106.1669621	19.4023037	298.9670136
Russula vinosa_1	Fertilized	38	2.075691178	9.864039937	77.44427404	8.660848945	390.3387236
Russula nitida_1 	Fertilized	39	4.054150054	15.35614032	86.59358432	0	333.4252102
Russula nitida_1 	Fertilized	39	7.033870072	16.82978157	61.3902552	0.151563573	341.2492369
Russula nitida_1	Fertilized	39	5.992049365	15.08663802	115.4383025	7.485639811	362.0586432
